symbol,company_name
BEL,Bharat Electronics Ltd.
BHEL,Bharat Heavy Electricals Ltd.
BPCL,Bharat Petroleum Corporation Ltd.
COALINDIA,Coal India Ltd.
CONCOR,Container Corporation of India Ltd.
GAIL,GAIL (India) Ltd.
HAL,Hindustan Aeronautics Ltd.
HINDPETRO,Hindustan Petroleum Corporation Ltd.
IOC,Indian Oil Corporation Ltd.
IRCTC,Indian Railway Catering And Tourism Corporation Ltd.
IRFC,Indian Railway Finance Corporation Ltd.
NHPC,NHPC Ltd.
NMDC,NMDC Ltd.
NTPC,NTPC Ltd.
ONGC,Oil & Natural Gas Corporation Ltd.
OIL,Oil India Ltd.
PFC,Power Finance Corporation Ltd.
POWERGRID,Power Grid Corporation of India Ltd.
RECLTD,REC Ltd.
RVNL,Rail Vikas Nigam Ltd.
