symbol,company_name
ADANIPORTS,Adani Ports and Special Economic Zone Ltd.
APOLLOHOSP,Apollo Hospitals Enterprise Ltd.
DMART,Avenue Supermarts Ltd.
AXISBANK,Axis Bank Ltd.
BSE,BSE Ltd.
BAJFINANCE,Bajaj Finance Ltd.
BAJAJFINSV,Bajaj Finserv Ltd.
BHARTIARTL,Bharti Airtel Ltd.
ETERNAL,Eternal Ltd.
GAIL,GAIL (India) Ltd.
HCLTECH,HCL Technologies Ltd.
HDFCBANK,HDFC Bank Ltd.
HDFCLIFE,HDFC Life Insurance Company Ltd.
ICICIBANK,ICICI Bank Ltd.
INDUSINDBK,IndusInd Bank Ltd.
NAUKRI,Info Edge (India) Ltd.
INFY,Infosys Ltd.
INDIGO,InterGlobe Aviation Ltd.
JIOFIN,Jio Financial Services Ltd.
KOTAKBANK,Kotak Mahindra Bank Ltd.
MAXHEALTH,Max Healthcare Institute Ltd.
NTPC,NTPC Ltd.
POWERGRID,Power Grid Corporation of India Ltd.
SBILIFE,SBI Life Insurance Company Ltd.
SHRIRAMFIN,Shriram Finance Ltd.
SBIN,State Bank of India
TCS,Tata Consultancy Services Ltd.
TATAPOWER,Tata Power Co. Ltd.
TECHM,Tech Mahindra Ltd.
WIPRO,Wipro Ltd.
