symbol,company_name
AEGISLOG,Aegis Logistics Ltd.
AFFLE,Affle 3i Ltd.
ARE&M,Amara Raja Energy & Mobility Ltd.
AMBER,Amber Enterprises India Ltd.
ANANDRATHI,Anand Rathi Wealth Ltd.
ANGELONE,Angel One Ltd.
ASTERDM,Aster DM Healthcare Ltd.
BANDHANBNK,Bandhan Bank Ltd.
CESC,CESC Ltd.
CASTROLIND,Castrol India Ltd.
CDSL,Central Depository Services (India) Ltd.
CHOLAHLDNG,Cholamandalam Financial Holdings Ltd.
CUB,City Union Bank Ltd.
COHANCE,Cohance Lifesciences Ltd.
CAMS,Computer Age Management Services Ltd.
CROMPTON,Crompton Greaves Consumer Electricals Ltd.
DELHIVERY,Delhivery Ltd.
LALPATHLAB,Dr. Lal Path Labs Ltd.
FIVESTAR,Five-Star Business Finance Ltd.
GLAND,Gland Pharma Ltd.
HSCL,Himadri Speciality Chemical Ltd.
HINDCOPPER,Hindustan Copper Ltd.
IIFL,IIFL Finance Ltd.
IGL,Indraprastha Gas Ltd.
INOXWIND,Inox Wind Ltd.
KARURVYSYA,Karur Vysya Bank Ltd.
KAYNES,Kaynes Technology India Ltd.
KEC,Kec International Ltd.
KFINTECH,Kfin Technologies Ltd.
MANAPPURAM,Manappuram Finance Ltd.
NATCOPHARM,NATCO Pharma Ltd.
NBCC,NBCC (India) Ltd.
NH,Narayana Hrudayalaya Ltd.
NAVINFLUOR,Navin Fluorine International Ltd.
NEULANDLAB,Neuland Laboratories Ltd.
PGEL,PG Electroplast Ltd.
PNBHOUSING,PNB Housing Finance Ltd.
PIRAMALFIN,Piramal Finance Ltd.
PPLPHARMA,Piramal Pharma Ltd.
POONAWALLA,Poonawalla Fincorp Ltd.
RBLBANK,RBL Bank Ltd.
REDINGTON,Redington Ltd.
RPOWER,Reliance Power Ltd.
SAILIFE,Sai Life Sciences Ltd.
SONACOMS,Sona BLW Precision Forgings Ltd.
SYNGENE,Syngene International Ltd.
TATACHEM,Tata Chemicals Ltd.
TATATECH,Tata Technologies Ltd.
WELCORP,Welspun Corp Ltd.
WOCKPHARMA,Wockhardt Ltd.
