symbol,segment
20MICRONS,EQ
21STCENMGM,EQ
360ONE,EQ
3BBLACKBIO,EQ
3IINFOLTD,EQ
3MINDIA,EQ
3PLAND,EQ
5PAISA,EQ
63MOONS,EQ
A2ZINFRA,EQ
AAATECH,EQ
AADHARHFC,EQ
AAKAAR,SME
AAKASH,EQ
AARADHYA,SME
AAREYDRUGS,EQ
AARNAV,EQ
AARON,EQ
AARTECH,EQ
AARTIDRUGS,EQ
AARTIIND,EQ
AARTIPHARM,EQ
AARTISURF,EQ
AARVI,EQ
AATMAJ,SME
AAVAS,EQ
ABAN,EQ
ABANSENT,EQ
ABB,EQ
ABBOTINDIA,EQ
ABCAPITAL,EQ
ABCOTS,EQ
ABDL,EQ
ABFRL,EQ
ABHAPOWER,SME
ABINFRA,EQ
ABLBL,EQ
ABMINTLLTD,EQ
ABMKNO,EQ
ABREL,EQ
ABSLAMC,EQ
ABSMARINE,SME
ACC,EQ
ACCELYA,EQ
ACCENTMIC,SME
ACCORD,SME
ACCPL,SME
ACCURACY,EQ
ACE,EQ
ACEINTEG,EQ
ACETEC,SME
ACI,EQ
ACL,EQ
ACMESOLAR,EQ
ACSTECH,EQ
ACTIVEINFR,SME
ACUTAAS,EQ
ADANIENSOL,EQ
ADANIENT,EQ
ADANIGREEN,EQ
ADANIPORTS,EQ
ADANIPOWER,EQ
ADDICTIVE,SME
ADFFOODS,EQ
ADISOFT,SME
ADL,EQ
ADOR,EQ
ADROITINFO,EQ
ADSL,EQ
ADVAIT,EQ
ADVANCE,EQ
ADVANIHOTR,EQ
ADVENTHTL,EQ
ADVENZYMES,EQ
AEGISLOG,EQ
AEGISVOPAK,EQ
AEPL,EQ
AEQUS,EQ
AEROENTER,EQ
AEROFLEX,EQ
AERON,SME
AERONEU,EQ
AESTHETIK,SME
AETHER,EQ
AFCONS,EQ
AFFLE,EQ
AFFORDABLE,EQ
AFIL,EQ
AFSL,EQ
AGARIND,EQ
AGARWALEYE,EQ
AGARWALFT,SME
AGARWALTUF,SME
AGI,EQ
AGIIL,EQ
AGNI,SME
AGRITECH,EQ
AGROPHOS,EQ
AGUL,SME
AHCL,EQ
AHIMSA,SME
AHLADA,EQ
AHLEAST,EQ
AHLUCONT,EQ
AHLWEST,EQ
AIAENG,EQ
AIIL,EQ
AILIMITED,SME
AIMTRON,SME
AIRAN,EQ
AIROLAM,EQ
AISL,SME
AJANTPHARM,EQ
AJAXENGG,EQ
AJMERA,EQ
AJOONI,EQ
AKANKSHA,SME
AKASH,EQ
AKCAPIT,EQ
AKG,EQ
