ticker,latest_period,latest_promoter,latest_fii,latest_dii,latest_public,promoter_d4q,fii_d4q,dii_d4q,public_d4q,worst_promoter_qtr,smart_money_score
20MICRONS,2026-03,45.04,0.41,0.11,54.96,0.0,-0.43,-0.039999999999999994,0.0,0.0,-0.47
21STCENMGM,2026-03,64.43,,,35.57,0.0,,,0.0,0.0,0.0
360ONE,2026-03,6.24,63.33,12.86,93.76,-0.8399999999999999,-3.450000000000003,5.27,0.8400000000000034,-0.8100000000000005,1.8199999999999967
3IINFOLTD,2026-03,,0.31,14.26,100.0,,-0.38999999999999996,7.6899999999999995,0.0,,7.3
3MINDIA,2026-03,75.0,3.52,8.33,25.0,0.0,-0.2599999999999998,0.2400000000000002,0.0,0.0,-0.019999999999999574
3PLAND,2026-03,73.3,,0.0,26.7,0.0,,0.0,0.0,0.0,0.0
5PAISA,2026-04,36.5,15.07,0.01,63.49,3.75,-6.550000000000001,-0.25,-3.749999999999993,-0.00999999999999801,-6.800000000000001
63MOONS,2026-03,45.63,1.3,0.01,54.37,0.0,-0.10999999999999988,0.0,0.0,0.0,-0.10999999999999988
A2ZINFRA,2026-03,28.14,0.86,0.1,71.86,0.0,-0.17000000000000004,0.0,0.0,0.0,-0.17000000000000004
AAATECH,2026-03,34.38,35.19,,65.62,-37.13,35.19,,37.13000000000001,-29.549999999999997,35.19
AADHARHFC,2026-03,64.9,6.13,9.15,35.1,-10.709999999999994,0.8099999999999996,0.5800000000000001,10.71,-10.289999999999992,1.3899999999999997
AAKASH,2026-03,66.54,,,33.46,0.0,,,0.0,0.0,0.0
AAREYDRUGS,2026-03,37.71,4.18,1.62,62.29,-7.089999999999996,1.8399999999999999,1.62,7.089999999999996,-5.739999999999995,3.46
AARNAV,2026-03,66.53,,,33.47,,,,,0.0,0.0
AARON,2026-03,73.07,,,26.93,0.009999999999990905,,,-0.010000000000001563,0.0,0.0
AARTECH,2026-03,52.75,,,47.25,0.030000000000001137,,,-0.030000000000001137,0.0,0.0
AARTIDRUGS,2026-03,55.03,1.58,10.22,44.97,-0.44999999999999574,-0.6699999999999999,0.5200000000000014,0.44999999999999574,-0.5,-0.14999999999999858
AARTIIND,2026-03,42.09,7.38,20.12,57.91,-0.14999999999999858,1.0899999999999999,0.15000000000000213,0.14999999999999858,-0.060000000000002274,1.240000000000002
AARTIPHARM,2026-03,43.08,8.39,7.41,56.92,-1.2100000000000009,1.0300000000000002,-0.1200000000000001,1.2100000000000009,-0.8399999999999963,0.9100000000000001
AARTISURF,2026-03,49.87,0.14,0.0,50.13,-0.05000000000000426,0.0,-0.8,0.05000000000000426,-0.03999999999999915,-0.8
AARVI,2026-03,73.53,0.0,,26.47,0.060000000000002274,0.0,,-0.060000000000002274,0.0,0.0
AAVAS,2026-03,48.88,16.74,22.14,51.12,22.410000000000004,-12.930000000000003,11.39,-22.410000000000004,-0.07000000000000028,-1.5400000000000027
ABAN,2026-03,46.0,0.0,0.07,54.0,0.0,-0.12,-0.8899999999999999,0.0,0.0,-1.0099999999999998
ABB,2026-03,75.0,8.2,9.29,25.0,0.0,-2.08,2.2699999999999996,0.0,0.0,0.1899999999999995
ABBOTINDIA,2018-12,74.99,,,25.01,0.0,,,-0.019999999999999574,0.0,0.0
ABCAPITAL,2026-03,68.51,7.7,13.82,31.49,-0.3399999999999892,-1.1000000000000005,4.040000000000001,0.33999999999999986,-0.12000000000000455,2.9400000000000004
ABCOTS,2026-03,52.5,0.11,,47.5,0.0,0.0,,0.0,0.0,0.0
ABDL,2026-03,80.91,3.23,4.82,19.09,0.0,0.5,0.79,0.0,0.0,1.29
ABFRL,2026-03,46.61,15.52,6.62,53.08,0.030000000000001137,-6.670000000000002,-8.02,0.01999999999999602,-0.00999999999999801,-14.690000000000001
ABINFRA,2026-03,30.95,0.69,0.01,69.05,0.0,0.69,0.01,0.0,0.0,0.7
ABLBL,2026-03,46.6,12.79,20.25,52.92,0.030000000000001137,-10.280000000000001,9.02,-0.14999999999999858,0.0,-1.2600000000000016
ABMINTLLTD,2026-03,74.7,,,25.3,0.0,,,0.0,0.0,0.0
ABREL,2026-03,50.21,9.04,16.4,48.79,0.0,-0.25,0.5399999999999991,0.03999999999999915,0.0,0.28999999999999915
ABSLAMC,2026-03,74.82,5.75,11.55,25.18,-0.0800000000000125,0.4299999999999997,0.6300000000000008,0.0799999999999983,-0.030000000000001137,1.0600000000000005
ACC,2026-03,56.69,5.93,21.61,43.31,0.0,1.0999999999999996,-3.3100000000000023,0.0,0.0,-2.2100000000000026
ACCELYA,2026-03,74.66,0.16,0.05,25.34,0.0,-1.6700000000000002,-1.04,0.0,0.0,-2.71
ACCURACY,2026-03,63.69,,,36.31,0.0,,,0.0,0.0,0.0
ACE,2026-03,65.42,9.58,1.84,34.52,0.010000000000005116,-2.0,-0.1299999999999999,0.0,0.0,-2.13
ACEINTEG,2026-03,73.53,,,26.47,0.0,,,0.0,0.0,0.0
ACI,2026-03,53.43,11.09,25.82,46.57,-0.00999999999999801,0.15000000000000036,2.6400000000000006,0.00999999999999801,-0.00999999999999801,2.790000000000001
ACL,2026-03,75.0,,0.34,25.0,-15.0,,0.0,15.0,-15.0,0.0
ACLGATI,2025-09,46.08,2.06,2.98,53.92,-0.020000000000003126,0.03000000000000025,-0.41999999999999993,0.020000000000003126,-0.010000000000005116,-0.3899999999999997
ACMESOLAR,2026-03,83.29,3.6,7.06,16.61,-0.11999999999999034,-1.1400000000000001,-0.03000000000000025,0.019999999999999574,-0.11999999999999034,-1.1700000000000004
ACUTAAS,2026-03,32.66,19.48,19.6,67.34,-3.3000000000000043,3.0,1.2900000000000027,3.299999999999997,-3.3000000000000043,4.290000000000003
ADANIENSOL,2026-03,72.73,12.23,10.25,27.27,2.7900000000000063,-5.349999999999998,3.92,-2.789999999999999,0.0,-1.429999999999998
ADANIENT,2026-03,74.67,10.8,6.7,25.33,0.7000000000000028,-0.9100000000000001,-0.16000000000000014,-0.7000000000000028,0.0,-1.0700000000000003
ADANIGREEN,2026-03,62.43,11.1,4.56,37.57,1.490000000000002,-1.3499999999999996,2.1599999999999997,-1.490000000000002,0.0,0.81
ADANIPORTS,2026-03,68.02,13.25,13.85,31.98,2.1299999999999955,-0.17999999999999972,-0.8800000000000008,-2.129999999999999,0.0,-1.0600000000000005
ADANIPOWER,2026-03,74.96,11.74,3.69,25.04,0.0,-0.629999999999999,2.04,0.0,0.0,1.410000000000001
ADFFOODS,2026-03,36.13,11.55,23.21,63.87,0.0,1.700000000000001,-0.4499999999999993,0.0,0.0,1.2500000000000018
ADL,2026-03,72.96,,,27.04,0.0,,,0.0,0.0,0.0
ADOR,2026-03,53.76,0.37,12.63,46.24,0.05999999999999517,0.33999999999999997,1.6300000000000008,-0.05999999999999517,0.0,1.9700000000000006
ADROITINFO,2026-03,38.28,,,61.72,1.3599999999999994,,,-1.3599999999999994,0.0,0.0
ADSL,2026-03,51.07,0.42,,48.93,-0.11999999999999744,-1.02,,0.11999999999999744,-0.0799999999999983,-1.02
ADVAIT,2026-03,66.8,0.21,0.13,33.2,,,,,-0.7599999999999909,0.0
ADVANCE,2026-03,69.89,2.58,1.92,30.11,,,,,0.0,0.0
ADVANIHOTR,2026-03,50.25,0.2,0.05,49.75,0.0,0.0,0.0,0.0,0.0,0.0
ADVENTHTL,2026-03,47.69,3.27,0.42,52.31,,,,,0.0,0.0
ADVENZYMES,2026-03,43.26,25.49,5.41,56.74,0.17999999999999972,13.589999999999998,-2.7799999999999994,-0.17999999999999972,-0.030000000000001137,10.809999999999999
AEGISLOG,2026-03,58.1,19.56,3.67,41.9,0.0,1.5,-2.6399999999999997,0.0,0.0,-1.1399999999999997
AEGISVOPAK,2026-03,86.93,5.89,4.89,13.07,0.0,-0.1800000000000006,0.2699999999999996,0.0,0.0,0.08999999999999897
AEPL,2026-03,72.45,0.0,0.0,27.55,,,,,,0.0
AEQUS,2026-03,59.08,3.9,11.38,38.57,,,,,0.0,0.0
AEROENTER,2026-03,51.59,0.54,0.06,48.41,0.0,0.040000000000000036,0.019999999999999997,0.0,0.0,0.06000000000000003
AEROFLEX,2026-03,65.47,1.49,3.8,34.53,-1.519999999999996,1.1,-0.07000000000000028,1.5200000000000031,-1.519999999999996,1.0299999999999998
AERONEU,2026-03,60.46,4.12,0.39,39.54,0.0,0.4900000000000002,0.35000000000000003,0.0,0.0,0.8400000000000003
AETHER,2026-03,74.95,6.29,12.66,25.05,-6.819999999999993,2.95,1.2300000000000004,6.82,-6.769999999999996,4.180000000000001
AFCONS,2026-03,50.17,12.19,20.95,49.83,0.0,-6.020000000000001,8.879999999999999,0.0,0.0,2.8599999999999977
AFFLE,2026-03,54.92,16.66,17.9,44.97,-0.10000000000000142,0.5700000000000003,2.589999999999998,0.0899999999999963,-0.030000000000001137,3.1599999999999984
