ticker,period,promoter_pct,fii_pct,dii_pct,public_pct,noninst_pct,total_shares,taxonomy
20MICRONS,2018-06,43.36,,,56.64,56.55,35286502.0,http://www.bseindia.com/xbrl/shp/2018-03-31/in-bse-shp
20MICRONS,2018-09,43.85,,,56.15,55.82,35286502.0,http://www.bseindia.com/xbrl/shp/2018-03-31/in-bse-shp
20MICRONS,2018-12,43.89,,,56.11,55.85,35286502.0,http://www.bseindia.com/xbrl/shp/2018-03-31/in-bse-shp
20MICRONS,2019-03,44.03,,,55.97,55.86,35286502.0,http://www.bseindia.com/xbrl/shp/2018-03-31/in-bse-shp
20MICRONS,2019-06,44.03,,,55.98,55.93,35286502.0,http://www.bseindia.com/xbrl/shp/2019-06-30/in-bse-shp
20MICRONS,2019-09,44.03,,,55.97,55.97,35286502.0,http://www.bseindia.com/xbrl/shp/2019-06-30/in-bse-shp
20MICRONS,2019-12,44.03,,,55.97,55.95,35286502.0,http://www.bseindia.com/xbrl/shp/2019-06-30/in-bse-shp
20MICRONS,2020-03,44.83,,,55.17,55.17,35286502.0,http://www.bseindia.com/xbrl/shp/2019-06-30/in-bse-shp
20MICRONS,2020-06,44.83,,,55.17,55.17,35286502.0,http://www.bseindia.com/xbrl/shp/2019-06-30/in-bse-shp
20MICRONS,2020-09,44.83,,,55.17,55.17,35286502.0,http://www.bseindia.com/xbrl/shp/2020-09-30/in-bse-shp
20MICRONS,2020-12,44.83,,,55.17,55.17,35286502.0,http://www.bseindia.com/xbrl/shp/2020-09-30/in-bse-shp
20MICRONS,2021-03,44.83,,,55.17,55.17,35286502.0,http://www.bseindia.com/xbrl/shp/2020-09-30/in-bse-shp
20MICRONS,2021-06,44.83,,,55.17,55.14,35286502.0,http://www.bseindia.com/xbrl/shp/2020-09-30/in-bse-shp
20MICRONS,2021-09,44.83,,,55.17,55.05,35286502.0,http://www.bseindia.com/xbrl/shp/2020-09-30/in-bse-shp
20MICRONS,2021-12,44.83,,,55.17,54.71,35286502.0,http://www.bseindia.com/xbrl/shp/2020-09-30/in-bse-shp
20MICRONS,2022-03,44.83,,,55.17,54.1,35286502.0,http://www.bseindia.com/xbrl/shp/2020-09-30/in-bse-shp
