symbol,index_name,valid_from,valid_to,isin,sector,exchange,delisted
IISL,Nifty 100,2000-01-01,2007-04-04,,,NSE,False
IDBI,Nifty 100,2000-01-01,2014-03-28,,,NSE,False
IDBI,Nifty 100,2020-03-27,2099-12-31,,,NSE,False
JPASSOCIAT,Nifty 100,2000-01-01,2014-03-28,,,NSE,False
MCDOWELL-N,Nifty 100,2000-01-01,2014-09-19,,,NSE,False
MCDOWELL-N,Nifty 100,2015-03-27,2099-12-31,,,NSE,False
MPHASIS,Nifty 100,2000-01-01,2014-09-19,,,NSE,False
MPHASIS,Nifty 100,2022-09-30,2023-03-31,,,NSE,False
JINDALSTEL,Nifty 100,2000-01-01,2015-03-27,,,NSE,False
JINDALSTEL,Nifty 100,2021-09-30,2022-03-31,,,NSE,False
JINDALSTEL,Nifty 100,2023-07-13,2099-12-31,,,NSE,False
DLF,Nifty 100,2000-01-01,2015-03-27,,,NSE,False
CROMPGREAV,Nifty 100,2000-01-01,2015-09-28,,,NSE,False
RPOWER,Nifty 100,2000-01-01,2015-09-28,,,NSE,False
UNIONBANK,Nifty 100,2000-01-01,2015-09-28,,,NSE,False
UNIONBANK,Nifty 100,2024-09-30,2025-03-28,,,NSE,False
UNIONBANK,Nifty 100,2026-03-30,2099-12-31,,,NSE,False
ABIRLANUVO,Nifty 100,2000-01-01,2015-10-19,,,NSE,False
APOLLOHOSP,Nifty 100,2000-01-01,2017-03-31,,,NSE,False
APOLLOHOSP,Nifty 100,2021-03-31,2099-12-31,,,NSE,False
BHARATFORG,Nifty 100,2000-01-01,2017-03-31,,,NSE,False
CASTROLIND,Nifty 100,2000-01-01,2017-03-31,,,NSE,False
GRASIM,Nifty 100,2000-01-01,2017-05-26,,,NSE,False
GRASIM,Nifty 100,2018-04-02,2099-12-31,,,NSE,False
UBL,Nifty 100,2000-01-01,2017-09-29,,,NSE,False
UBL,Nifty 100,2019-03-29,2099-12-31,,,NSE,False
DIVISLAB,Nifty 100,2000-01-01,2017-09-29,,,NSE,False
