symbol,index_name,valid_from,valid_to,isin,sector,exchange,delisted
ADANIENT,nifty500,2023-01-01,,,Metals & Mining,NSE,False
ADANIPORTS,nifty500,2023-01-01,,,Logistics,NSE,False
APOLLOHOSP,nifty500,2023-01-01,,,Healthcare,NSE,False
ASIANPAINT,nifty500,2023-01-01,,,Consumer,NSE,False
AXISBANK,nifty500,2023-01-01,,,Financial,NSE,False
BAJAJ-AUTO,nifty500,2023-01-01,,,Auto,NSE,False
BAJFINANCE,nifty500,2023-01-01,,,Financial,NSE,False
BAJAJFINSV,nifty500,2023-01-01,,,Financial,NSE,False
BEL,nifty500,2023-01-01,,,Industrials,NSE,False
BHARTIARTL,nifty500,2023-01-01,,,Telecom,NSE,False
CIPLA,nifty500,2023-01-01,,,Pharma,NSE,False
COALINDIA,nifty500,2023-01-01,,,Energy,NSE,False
DRREDDY,nifty500,2023-01-01,,,Pharma,NSE,False
EICHERMOT,nifty500,2023-01-01,,,Auto,NSE,False
ETERNAL,nifty500,2023-01-01,,,Consumer,NSE,False
GRASIM,nifty500,2023-01-01,,,Cement,NSE,False
HCLTECH,nifty500,2023-01-01,,,IT,NSE,False
HDFCBANK,nifty500,2023-01-01,,,Financial,NSE,False
HDFCLIFE,nifty500,2023-01-01,,,Financial,NSE,False
HEROMOTOCO,nifty500,2023-01-01,,,Auto,NSE,False
HINDALCO,nifty500,2023-01-01,,,Metals & Mining,NSE,False
HINDUNILVR,nifty500,2023-01-01,,,Consumer,NSE,False
ICICIBANK,nifty500,2023-01-01,,,Financial,NSE,False
INDUSINDBK,nifty500,2023-01-01,,,Financial,NSE,False
INFY,nifty500,2023-01-01,,,IT,NSE,False
ITC,nifty500,2023-01-01,,,Consumer,NSE,False
JIOFIN,nifty500,2023-01-01,,,Financial,NSE,False
JSWSTEEL,nifty500,2023-01-01,,,Metals & Mining,NSE,False
KOTAKBANK,nifty500,2023-01-01,,,Financial,NSE,False
LT,nifty500,2023-01-01,,,Infra,NSE,False
M&M,nifty500,2023-01-01,,,Auto,NSE,False
MARUTI,nifty500,2023-01-01,,,Auto,NSE,False
NESTLEIND,nifty500,2023-01-01,,,Consumer,NSE,False
NTPC,nifty500,2023-01-01,,,Energy,NSE,False
ONGC,nifty500,2023-01-01,,,Energy,NSE,False
POWERGRID,nifty500,2023-01-01,,,Energy,NSE,False
RELIANCE,nifty500,2023-01-01,,,Energy,NSE,False
SBILIFE,nifty500,2023-01-01,,,Financial,NSE,False
SBIN,nifty500,2023-01-01,,,Financial,NSE,False
SHRIRAMFIN,nifty500,2023-01-01,,,Financial,NSE,False
SUNPHARMA,nifty500,2023-01-01,,,Pharma,NSE,False
TATACONSUM,nifty500,2023-01-01,,,Consumer,NSE,False
TATAMOTORS,nifty500,2023-01-01,,,Auto,NSE,False
TATASTEEL,nifty500,2023-01-01,,,Metals & Mining,NSE,False
TCS,nifty500,2023-01-01,,,IT,NSE,False
TECHM,nifty500,2023-01-01,,,IT,NSE,False
TITAN,nifty500,2023-01-01,,,Consumer,NSE,False
TRENT,nifty500,2023-01-01,,,Consumer,NSE,False
ULTRACEMCO,nifty500,2023-01-01,,,Cement,NSE,False
WIPRO,nifty500,2023-01-01,,,IT,NSE,False
ABB,nifty500,2023-01-01,,,Industrials,NSE,False
ADANIENSOL,nifty500,2023-01-01,,,Energy,NSE,False
ADANIGREEN,nifty500,2023-01-01,,,Energy,NSE,False
AMBUJACEM,nifty500,2023-01-01,,,Cement,NSE,False
BANKBARODA,nifty500,2023-01-01,,,Financial,NSE,False
BDL,nifty500,2023-01-01,,,Defense,NSE,False
BHEL,nifty500,2023-01-01,,,Industrials,NSE,False
BOSCHLTD,nifty500,2023-01-01,,,Auto,NSE,False
BPCL,nifty500,2023-01-01,,,Energy,NSE,False
CANBK,nifty500,2023-01-01,,,Financial,NSE,False
CHOLAFIN,nifty500,2023-01-01,,,Financial,NSE,False
COLPAL,nifty500,2023-01-01,,,Consumer,NSE,False
DABUR,nifty500,2023-01-01,,,Consumer,NSE,False
DIVISLAB,nifty500,2023-01-01,,,Pharma,NSE,False
DLF,nifty500,2023-01-01,,,Realty,NSE,False
DMART,nifty500,2023-01-01,,,Retail,NSE,False
GAIL,nifty500,2023-01-01,,,Other,NSE,False
GLAND,nifty500,2023-01-01,,,Other,NSE,False
GODREJCP,nifty500,2023-01-01,,,Consumer,NSE,False
GODREJPROP,nifty500,2023-01-01,,,Realty,NSE,False
HAL,nifty500,2023-01-01,,,Defense,NSE,False
HAVELLS,nifty500,2023-01-01,,,Consumer,NSE,False
ICICIGI,nifty500,2023-01-01,,,Financial,NSE,False
ICICIPRULI,nifty500,2023-01-01,,,Financial,NSE,False
IDFCFIRSTB,nifty500,2023-01-01,,,Financial,NSE,False
INDHOTEL,nifty500,2023-01-01,,,Hospitality,NSE,False
IOC,nifty500,2023-01-01,,,Other,NSE,False
IRCTC,nifty500,2023-01-01,,,Services,NSE,False
JINDALSTEL,nifty500,2023-01-01,,,Metals & Mining,NSE,False
LODHA,nifty500,2023-01-01,,,Realty,NSE,False
LUPIN,nifty500,2023-01-01,,,Pharma,NSE,False
MARICO,nifty500,2023-01-01,,,Consumer,NSE,False
MAXHEALTH,nifty500,2023-01-01,,,Healthcare,NSE,False
MOTHERSON,nifty500,2023-01-01,,,Auto,NSE,False
NHPC,nifty500,2023-01-01,,,Energy,NSE,False
PERSISTENT,nifty500,2023-01-01,,,IT,NSE,False
PIDILITIND,nifty500,2023-01-01,,,Consumer,NSE,False
PNB,nifty500,2023-01-01,,,Financial,NSE,False
POLYCAB,nifty500,2023-01-01,,,Industrials,NSE,False
RECLTD,nifty500,2023-01-01,,,Financial,NSE,False
SAIL,nifty500,2023-01-01,,,Metals & Mining,NSE,False
SBICARD,nifty500,2023-01-01,,,Financial,NSE,False
SHREECEM,nifty500,2023-01-01,,,Cement,NSE,False
SIEMENS,nifty500,2023-01-01,,,Industrials,NSE,False
TATAPOWER,nifty500,2023-01-01,,,Energy,NSE,False
TORNTPOWER,nifty500,2023-01-01,,,Energy,NSE,False
TVSMOTOR,nifty500,2023-01-01,,,Auto,NSE,False
VBL,nifty500,2023-01-01,,,Consumer,NSE,False
VEDL,nifty500,2023-01-01,,,Metals & Mining,NSE,False
ZYDUSLIFE,nifty500,2023-01-01,,,Pharma,NSE,False
AARTIIND,nifty500,2023-01-01,,,Other,NSE,False
ABBOTINDIA,nifty500,2023-01-01,,,Other,NSE,False
ABCAPITAL,nifty500,2023-01-01,,,Other,NSE,False
ABFRL,nifty500,2023-01-01,,,Other,NSE,False
ALKEM,nifty500,2023-01-01,,,Other,NSE,False
AMBER,nifty500,2023-01-01,,,Other,NSE,False
APLAPOLLO,nifty500,2023-01-01,,,Other,NSE,False
ASIANPAINTS,nifty500,2023-01-01,,,Other,NSE,False
