index_name,effective_date,added,removed,reason
Nifty 50,2014-03-28,"[""MCDOWELL-N"", ""TECHM""]","[""RANBAXY"", ""JPASSOCIAT""]",Reconstitution
Nifty 50,2014-09-19,"[""ZEEL""]","[""MCDOWELL-N""]",Reconstitution
Nifty 50,2015-03-27,"[""IDEA"", ""YESBANK""]","[""JINDALSTEL"", ""DLF""]",Reconstitution
Nifty 50,2015-09-28,"[""ADANIPORTS""]","[""NMDC""]",Reconstitution
Nifty 50,2017-03-31,"[""IBULHSGFIN"", ""IOC""]","[""BHEL"", ""IDEA""]",Reconstitution
Nifty 50,2017-05-26,"[""VEDL""]","[""GRASIM""]",Reconstitution
Nifty 50,2017-09-29,"[""BAJFINANCE"", ""UPL"", ""HINDPETRO""]","[""BANKBARODA"", ""TATAPOWER"", ""TATAMTRDVR"", ""ACC""]",Reconstitution
Nifty 50,2018-04-02,"[""TITAN"", ""BAJAJFINSV"", ""GRASIM""]","[""BOSCHLTD"", ""AUROPHARMA"", ""AMBUJACEM""]",Reconstitution
Nifty 50,2018-09-28,"[""JSWSTEEL""]","[""LUPIN""]",Reconstitution
Nifty 50,2019-03-29,"[""BRITANNIA""]","[""HINDPETRO""]",Reconstitution
Nifty 50,2019-09-27,"[""NESTLEIND""]","[""IBULHSGFIN""]",Reconstitution
Nifty 50,2020-03-19,"[""SHREECEM""]","[""YESBANK""]",Reconstitution
Nifty 50,2020-03-27,"[""SHREECEM""]","[""YESBANK""]",Reconstitution
Nifty 50,2020-07-31,"[""HDFCLIFE""]","[""VEDL""]",Reconstitution
Nifty 50,2020-09-25,"[""SBILIFE"", ""DIVISLAB""]","[""ZEEL"", ""INFRATEL""]",Reconstitution
Nifty 50,2021-03-31,"[""TATACONSUM""]","[""GAIL""]",Reconstitution
Nifty 50,2022-03-31,"[""APOLLOHOSP""]","[""IOC""]",Reconstitution
Nifty 50,2022-09-30,"[""ADANIENT""]","[""SHREECEM""]",Reconstitution
Nifty 50,2023-07-13,"[""LTIM""]","[""HDFC""]",Reconstitution
Nifty 50,2024-03-28,"[""SHRIRAMFIN""]","[""UPL""]",Reconstitution
Nifty 50,2024-09-30,"[""TRENT"", ""BEL""]","[""LTIM"", ""DIVISLAB""]",Reconstitution
Nifty 50,2025-03-28,"[""JIOFIN"", ""ZOMATO""]","[""BPCL"", ""BRITANNIA""]",Reconstitution
Nifty 50,2025-09-30,"[""MAXHEALTH"", ""INDIGO""]","[""INDUSINDBK"", ""HEROMOTOCO""]",Reconstitution
Nifty 100,2007-04-04,[],"[""IISL""]",Reconstitution
Nifty 100,2014-03-28,"[""INFRATEL"", ""INGVYSYABK""]","[""IDBI"", ""JPASSOCIAT""]",Reconstitution
Nifty 100,2014-09-19,"[""MOTHERSUMI"", ""AUROPHARMA""]","[""MCDOWELL-N"", ""MPHASIS""]",Reconstitution
Nifty 100,2015-03-27,"[""IBULHSGFIN"", ""MCDOWELL-N""]","[""JINDALSTEL"", ""DLF""]",Reconstitution
Nifty 100,2015-09-28,"[""MARICO"", ""ASHOKLEY"", ""SUNDARMFIN""]","[""CROMPGREAV"", ""RPOWER"", ""UNIONBANK""]",Reconstitution
Nifty 100,2015-10-19,"[""IOC""]","[""ABIRLANUVO""]",Reconstitution
Nifty 100,2017-03-31,"[""PETRONET"", ""RECLTD"", ""ICICIPRULI""]","[""APOLLOHOSP"", ""BHARATFORG"", ""CASTROLIND""]",Reconstitution
Nifty 100,2017-05-26,"[""SUNTV""]","[""GRASIM""]",Reconstitution
Nifty 100,2017-09-29,"[""MRF"", ""DMART""]","[""UBL"", ""DIVISLAB""]",Reconstitution
Nifty 100,2018-04-02,"[""GICRE"", ""GRASIM"", ""SBILIFE"", ""L&TFH"", ""ABCAPITAL""]","[""TATAPOWER"", ""GLAXO"", ""GSKCONS"", ""TORNTPHARM"", ""GLENMARK""]",Reconstitution
Nifty 100,2018-09-28,"[""NIACL"", ""BIOCON"", ""ICICIGI"", ""HDFCLIFE"", ""BANDHANBNK""]","[""PFC"", ""RECLTD"", ""CUMMINSIND"", ""EMAMILTD"", ""PNB""]",Reconstitution
Nifty 100,2019-03-29,"[""PAGEIND"", ""HDFCAMC"", ""UBL"", ""DIVISLAB"", ""BAJAJHLDNG""]","[""SUNTV"", ""LICHSGFIN"", ""BEL"", ""ABCAPITAL"", ""OIL""]",Reconstitution
Nifty 100,2019-09-27,"[""NESTLEIND"", ""PNB"", ""PFC"", ""BERGEPAINT""]","[""BHEL"", ""MRF"", ""SAIL""]",Reconstitution
Nifty 100,2020-03-19,"[""ADANITRANS""]","[""YESBANK""]",Reconstitution
Nifty 100,2020-03-27,"[""TORNTPHARM"", ""IDBI"", ""LTI"", ""ADANITRANS"", ""NAUKRI""]","[""IBULHSGFIN"", ""L&TFH"", ""YESBANK"", ""ASHOKLEY"", ""IDEA""]",Reconstitution
Nifty 100,2020-06-26,"[""IGL"", ""MUTHOOTFIN"", ""ABBOTINDIA"", ""TORNTPHARM"", ""NAUKRI""]","[""IBULHSGFIN"", ""NIACL"", ""L&TFH"", ""TATAMTRDVR"", ""ASHOKLEY"", ""IDEA""]",Reconstitution
Nifty 100,2020-07-31,"[""SBICARD""]","[""VEDL""]",Reconstitution
Nifty 100,2020-09-25,"[""ALKEM"", ""ADANIGREEN"", ""LTI"", ""TATACONSUM""]","[""PAGEIND"", ""ZEEL"", ""NHPC"", ""SRTRANSFIN""]",Reconstitution
Nifty 100,2021-03-31,"[""JUBLFOOD"", ""VEDL"", ""ADANIENT"", ""YESBANK"", ""APOLLOHOSP"", ""MRF""]","[""OFSS"", ""GICRE"", ""PFC"", ""CONCOR"", ""HINDZINC"", ""BANKBARODA""]",Reconstitution
Nifty 100,2021-06-30,"[""GLAND""]","[""MOTHERSUMI""]",Reconstitution
Nifty 100,2021-09-30,"[""PIIND"", ""BANKBARODA"", ""CHOLAFIN"", ""JINDALSTEL"", ""SAIL""]","[""PETRONET"", ""ABBOTINDIA"", ""ALKEM""]",Reconstitution
Nifty 100,2022-03-31,"[""PAYTM"", ""SRF"", ""NYKAA"", ""ZOMATO"", ""MINDTREE""]","[""IGL"", ""AUROPHARMA"", ""HINDPETRO"", ""YESBANK"", ""JINDALSTEL""]",Reconstitution
Nifty 100,2022-08-08,"[""TATAPOWER"", ""LICI""]","[""PEL"", ""NMDC""]",Reconstitution
Nifty 100,2022-09-30,"[""IRCTC"", ""MPHASIS"", ""HAL"", ""BEL"", ""ATGL"", ""MOTHERSON""]","[""JUBLFOOD"", ""LUPIN"", ""ZYDUSLIFE"", ""PNB"", ""SAIL""]",Reconstitution
Nifty 100,2023-03-31,"[""PAGEIND"", ""ABB"", ""AWL"", ""VBL"", ""CANBK""]","[""PAYTM"", ""MPHASIS"", ""BIOCON"", ""GLAND"", ""BANDHANBNK""]",Reconstitution
Nifty 100,2023-07-13,"[""JINDALSTEL""]","[""HDFC""]",Reconstitution
Nifty 100,2023-09-29,"[""TVSMOTOR"", ""TATAMTRDVR"", ""TRENT"", ""ZYDUSLIFE"", ""SHRIRAMFIN"", ""PNB""]","[""PAGEIND"", ""INDUSTOWER"", ""HDFCAMC"", ""NYKAA"", ""ACC""]",Reconstitution
Nifty 100,2024-03-28,"[""PFC"", ""ADANIPOWER"", ""RECLTD"", ""IRFC"", ""JIOFIN""]","[""AWL"", ""UPL"", ""PIIND"", ""MUTHOOTFIN"", ""PGHH""]",Reconstitution
Nifty 100,2024-09-30,"[""LODHA"", ""BHEL"", ""NHPC"", ""JSWENERGY"", ""UNIONBANK""]","[""BERGEPAINT"", ""MARICO"", ""SRF"", ""SBICARD"", ""COLPAL""]",Reconstitution
Nifty 100,2025-03-28,"[""INDHOTEL"", ""HYUNDAI"", ""BAJAJHFL"", ""CGPOWER"", ""SWIGGY""]","[""IRCTC"", ""BHEL"", ""NHPC"", ""ATGL"", ""UNIONBANK""]",Reconstitution
Nifty 100,2025-09-30,"[""MAXHEALTH"", ""MAZDOCK"", ""SOLARINDS"", ""HINDZINC"", ""ENRIN""]","[""INDUSINDBK"", ""ICICIPRULI"", ""HEROMOTOCO"", ""DABUR"", ""SWIGGY""]",Reconstitution
Nifty 100,2026-03-30,"[""MUTHOOTFIN"", ""TATACAP"", ""HDFCAMC"", ""CUMMINSIND"", ""TMCV"", ""UNIONBANK""]","[""HAVELLS"", ""ICICIGI"", ""LICI"", ""BAJAJHFL"", ""JSWENERGY"", ""NAUKRI""]",Reconstitution
Nifty 500,2014-02-28,"[""JYOTHYLAB""]","[""CASTROL""]",Reconstitution
Nifty 500,2014-03-28,"[""IBULHSGFIN"", ""SONASTEER"", ""VAIBHAVGBL"", ""JUSTDIAL"", ""PIIND"", ""SPARC"", ""NBCC"", ""BAJAJCORP"", ""INOXLEISUR"", ""TRIDENT"", ""MAHINDUGIN"", ""CARERATING"", ""PFS""]","[""UBHOLDINGS"", ""ZODIACLOTH"", ""DYNAMATECH"", ""BRFL"", ""INNOIND"", ""SHREEASHTA"", ""PSL"", ""ESSAROIL"", ""DRDATSONS"", ""MTNL"", ""KGL"", ""TULIP"", ""NDTV""]",Reconstitution
Nifty 500,2014-09-19,"[""CENTURYPLY"", ""ASHOKA"", ""NITINFIRE"", ""TVTODAY"", ""APARINDS"", ""ASTRAL"", ""WELCORP"", ""RATNAMANI"", ""WABAG"", ""WHEELS"", ""REPCOHOME"", ""KITEX"", ""NOCIL"", ""APLLTD"", ""AJANTPHARM""]","[""POLARIS"", ""GTOFFSHORE"", ""ADANIPOWER"", ""INDIAGLYCO"", ""ORBITCORP"", ""APTECHT"", ""MCDOWELL-N"", ""TINPLATE"", ""INFINITE"", ""SKUMARSYNF"", ""COREEDUTEC"", ""INDRAMEDCO"", ""ERAINFRA"", ""MANINFRA"", ""WSTCSTPAPR""]",Reconstitution
Nifty 500,2015-03-24,"[""MAYURUNIQ"", ""MUNJALSHOW"", ""SUVEN""]","[""MASTEK"", ""CMC"", ""SHASUNPHAR""]",Reconstitution
Nifty 500,2015-03-27,"[""JKCEMENT"", ""FCEL"", ""KPRMILL"", ""PENIND"", ""LGBBROSLTD"", ""IFBIND"", ""GULFOILLUB"", ""VINATIORGA"", ""MARKSANS"", ""KNRCON"", ""MCDOWELL-N"", ""NDTV""]","[""ELDERPHARM"", ""IMFA"", ""TI"", ""REIAGROLTD"", ""PFOCUS"", ""IL&FSENGG"", ""VENKEYS"", ""EDUCOMP"", ""LOVABLE"", ""HUBTOWN"", ""RAJTV"", ""DCW""]",Reconstitution
