lb,hold,tn,is_sh,oos_sh,oos_cagr,oos_mdd
20,20,20,0.5285563602969631,0.9574269665223136,0.24471799833824082,-0.4891615210429634
20,20,30,0.602089061754366,0.9382112969292601,0.23988498512299206,-0.4863776782193465
20,20,40,0.6280287314157708,0.9324201759119591,0.23776978832246587,-0.4854198318077463
60,20,30,0.6389946653711883,0.9304640752250329,0.2403889345456487,-0.49124436636074076
60,20,40,0.6315827605961201,0.9299627893778952,0.2390136325714305,-0.4893340950885894
60,20,20,0.5704616463747446,0.9118884408327554,0.23815928555144383,-0.5012913946574469
120,20,30,0.6522029014912231,0.9101719577064552,0.23781108249532124,-0.49614742311576043
120,20,20,0.5900816638925198,0.9091284593508123,0.23944593162072048,-0.49247327941540253
120,20,40,0.6734046705715052,0.9068268890513066,0.23561875186475745,-0.4919340096754017
250,20,30,0.6291290955505864,0.8727290848115163,0.2303853458031473,-0.48532590010044474
250,20,40,0.6578809073082685,0.8708928246926104,0.22995914947751817,-0.4882593596611786
250,20,20,0.6338291944355298,0.839807439696402,0.22475754219013044,-0.4946723185562627
