lb,ma,tn,is_sh,oos_sh,oos_cagr,oos_mdd,oos_calmar
10,60,15,0.4063423522102914,1.2258346204213315,0.22555916174697566,-0.19253036536760448,1.1715511021667062
10,60,20,0.42057921957827704,1.1887265121283035,0.21893332731631854,-0.18617080636589523,1.1759809799933547
10,60,30,0.4692381014961022,1.1642212697679672,0.21351563420690467,-0.1809949272253869,1.1796774499708538
10,100,15,0.5838067864624166,1.3963917626040907,0.2503100546509056,-0.15984734160616954,1.565931920642242
10,100,20,0.6102134443678663,1.3583844358974442,0.24326217659656435,-0.15512803839543943,1.5681380304472152
10,100,30,0.6534551334331411,1.329954429837372,0.23695308640177193,-0.15046335705251368,1.5748225418037975
10,150,15,0.5189451424220874,1.2442894077469961,0.23913335367364352,-0.19477453208575501,1.2277444649096025
10,150,20,0.5347914420941063,1.2122372856659986,0.2326742477202448,-0.18761717133939793,1.2401543316061354
10,150,30,0.5816494323712541,1.1883537784742324,0.22688328918334832,-0.18705162525796737,1.2129447625512377
10,200,15,0.6928448198211689,1.209052791669254,0.23599178540184496,-0.23109196699384793,1.0212028936865964
10,200,20,0.711473011940782,1.1741019806928088,0.22908724382715873,-0.23088034880024744,0.9922336180519198
10,200,30,0.752618730440741,1.1539544554165848,0.22377075463312557,-0.22751497880148874,0.9835429553338109
20,60,15,0.40488024813633905,1.2108573734956127,0.22037635328531469,-0.18717584388799413,1.177376036927007
20,60,20,0.418729380725019,1.1660770297299188,0.21393039728830554,-0.1867179597381562,1.1457408681431112
20,60,30,0.49902836681332763,1.1429878653618588,0.21032681038156942,-0.18156559921570048,1.158406720712003
20,100,15,0.5717025582683248,1.382968848855199,0.2449425850055611,-0.15390338199200426,1.5915347787372638
20,100,20,0.5875436133390354,1.3314865607869095,0.2375003307825434,-0.1577694704634004,1.5053630470138333
20,100,30,0.6789384955312939,1.3083300741655497,0.2336936650985777,-0.15453317403507782,1.5122556470983444
20,150,15,0.46568083447355246,1.2346358665142234,0.23451678647503904,-0.18661597184161705,1.2566812163005852
20,150,20,0.48684470016897047,1.1916342387493668,0.2277619927685628,-0.19107567282928906,1.1919989049158028
20,150,30,0.5820875917721281,1.1708898590882595,0.22405797048209108,-0.1860207955243579,1.2044780791874021
20,200,15,0.6468650627284606,1.198947048762941,0.23132772391626166,-0.23072550194685648,1.0026101231304023
20,200,20,0.6713147483878493,1.1590808987250296,0.22488272125398856,-0.22926395336675132,0.9808900088809245
20,200,30,0.7638932134877443,1.1389024843695332,0.2212236418633886,-0.22618663805210015,0.9780579603134277
40,60,15,0.48344629449755416,1.1280307180471025,0.21125308688867905,-0.1937619570828607,1.0902712280013689
40,60,20,0.4894786219281451,1.1319368579598772,0.21079265193832608,-0.18828617189423003,1.119533366777137
40,60,30,0.5777995440344001,1.1425972024629096,0.20998242914619136,-0.1803303045844976,1.164432287906438
40,100,15,0.6825559679754003,1.2960428027390327,0.23546015446515312,-0.15862796055359096,1.4843546726783083
40,100,20,0.6894837689164076,1.300057472400017,0.23481493630311379,-0.15714477476053856,1.4942586329130645
40,100,30,0.75268648719576,1.3119640292015466,0.23385535179092054,-0.1506953963037656,1.5518413802072926
40,150,15,0.5427306650544987,1.1614290892576669,0.2259952308460107,-0.1906485971736498,1.185402012898977
40,150,20,0.5695968567026806,1.1655424357649116,0.22540063400321353,-0.18762988889507082,1.2013045220597314
40,150,30,0.6280690944004661,1.174485090932742,0.224286598855026,-0.18552048612399485,1.2089586629539195
40,200,15,0.7246081235599608,1.126845896048164,0.22272883687611622,-0.2372937155433914,0.9386208832630806
40,200,20,0.7478812718116821,1.133228964724346,0.22244173311384818,-0.22890177118365695,0.971778121084849
40,200,30,0.8146558487274309,1.140514315356689,0.2211577201872068,-0.22480478625672162,0.9837767419001927
60,60,15,0.41438670349227696,1.121554930153366,0.21093478501998164,-0.19418163403741406,1.0862756720820448
60,60,20,0.4591392767257977,1.118198004217963,0.2090923445381263,-0.18822062136259698,1.1108896731103712
60,60,30,0.5200344287378712,1.1293705822355575,0.20965420455437944,-0.18532150565117023,1.1312999201992808
60,100,15,0.6307053136185478,1.3008049989414678,0.23681090995417953,-0.1598511691554756,1.481446217786814
60,100,20,0.645123980356244,1.2866705386893036,0.23324158696591368,-0.15690422301213425,1.4865220482171206
60,100,30,0.6863659051131468,1.296284949453602,0.23338655846494682,-0.15383533759622314,1.5171192920414975
60,150,15,0.4951032955815736,1.167271690446274,0.22745095944625637,-0.19416296408715794,1.1714435887173404
60,150,20,0.5123676931214631,1.151705523234503,0.2237325431657753,-0.18943849205600072,1.1810300047132805
60,150,30,0.5661887161200461,1.159763308507716,0.22372524048634213,-0.18602684029904848,1.202650327913388
60,200,15,0.6797933221451797,1.1308660287829713,0.22391853906956505,-0.24065732518001215,0.9304455574002309
60,200,20,0.6883773818333394,1.1213752783750446,0.22102165338506752,-0.235963666121082,0.93667663762968
60,200,30,0.7481303007161889,1.1322276110160014,0.22148438995393072,-0.226561105891814,0.9775922883237184
